status,time,card_type,city,amount,id
success,2025-09-07 10:48:00,Visa,Tehran,1427657.0,98
success,2025-09-20 13:10:00,MastCard,Tehran,1578078.0,52
fail,2025-09-29 03:27:00,Visa,Tehran ,250000.0,20
success,2025-09-15 13:13:00,Discover,Isfahan,0.0,40
success,2025-09-11 11:11:00,Visa,Tehran,1782689.0,59
fail,2025-09-08 21:21:00,Discover,Tehran,1050805.0,77
Success,2025-09-29 22:27:00,Visa,Tabriz,1387769.0,14
fail,2025-09-21 03:00:00,Master-Card,Tehran,1502601.0,44
success,2025-09-07 12:12:00,Discover,Isfahan,-999999.0,87
fail,2025-09-26 07:32:00,Visa,Tehran,0.0,82
success,2025-09-19 12:12:00,Visa,Tehran,200000.0,48
fail,2025-09-23 19:19:00,Amex,Shiraz,914282.0,94
fail,2025-09-11 07:32:00,visa,TEHRAN,774681.0,43
failed,2025-09-11 14:30:00,Visa,Isfahan,1305967.0,16
fail,2025-09-24 11:11:00,Visa,karaj,177050.0,35
failed,2025-09-21 11:11:00,MasterCard,Tehran,650000.0,53
success,2025-09-04 10:05:00,Amex,Ahvaz,12345.0,34
succeed,2025-09-08 19:51:00,Discover,Tehran,-999999.0,3
success,2025-09-24 03:00:00,Discover,karaj,50200.0,68
fail,2025-09-03 17:17:00,MasterCard,THR,1305967.0,5
fail,2025-09-22 00:00:00,Discover,Ahvaz,471227.0,10
failed,2025-09-21 11:11:00,nan,karaj,250000.0,52
failed,2025-09-02 11:11:00,Visa,Qom,177050.0,29
fail,2025-09-24 13:10:00,Discover,Tabriz,471227.0,97
success,2025-09-12 16:40:00,Vsa,Shiraz,9999999999.0,31
success,2025-09-30 16:40:00,Vsa,Isfahan,976246.0,66
FAIL,2025-09-06 01:01:00,Visa,Tehran,120000.0,76
Success,2025-09-02 16:40:00,VISA,Mashhad,1050805.0,92
succeed,2025-09-28 03:27:00,MastCard,Shiraz,0.0,69
failed,2025-09-21 21:10:00,Discover,Tehran,1158713.0,37
Success,2025-09-01 14:30:00,MasterCard,Shiraz,450000.0,27
fail,2025-09-12 22:27:00,Discover,Shiraz,-999999.0,88
failed,2025-09-26 03:27:00,Visa,Tehran,-999999.0,33
success,2025-09-22 02:54:00,Discover,Isfahan,100.5,68
FAIL,2025-09-29 11:11:00,Amex,Tehran ,-999999.0,59
success,2025-09-12 19:51:00,Vsa,THR,9999999999.0,64
fail,2025-09-25 12:34:00,Discover,Isfahan,-5000.0,85
success,2025-09-17 14:02:00,Discover,Isfahan,99999.0,89
success,2025-09-27 02:24:00,MasterCard,Tehran,1578078.0,44
fail,2025-09-27 11:11:00,Amex,Tehran,63489.0,96
fail,2025-09-10 19:29:00,MastCard,Tabriz,450000.0,89
success,2025-09-28 19:40:00,Discover,tehr@n,177050.0,49
fail,2025-09-28 12:12:00,Amex,tehr@n,1050805.0,53
fail,2025-09-16 07:32:00,Discover,karaj,-5000.0,74
fail,2025-09-15 11:11:00,MastCard,Isfahan,1578078.0,49
Success,2025-09-30 21:23:00,Visa,Tehran,343679.0,66
success,2025-09-30 09:09:00,Discover,Qom,555555.0,96
fail,2025-09-15 05:23:00,MasterCard,Shiraz,471227.0,63
success,2025-09-30 01:01:00,Master-Card,Isfahan,976246.0,25
success,2025-09-19 14:00:00,Amex,Karaj,343679.0,4
fail,2025-09-12 21:23:00,VISA,Karaj,1463119.0,51
fail,2025-09-23 08:08:00,Visa,Ahvaz,200000.0,11
success,2025-09-20 02:24:00,MasterCard,Mashhad,976246.0,17
success,2025-09-25 07:32:00,MasterCard,Ahvaz,9999999999.0,66
success,2025-09-03 18:12:00,Amex,Tehran,774681.0,70
success,2025-09-05 02:30:00,Vsa,Karaj,1578078.0,73
fail,2025-09-19 02:24:00,Vsa,Tabriz,205000.0,69
FAIL,2025-09-07 02:30:00,MastCard,Tabriz,1000.0,84
fail,2025-09-21 07:08:00,Amex,Tehran,-5000.0,29
success,2025-09-09 14:02:00,Master Card,Tehran,419089.0,85
fail,2025-09-07 09:09:00,Discover,nan,0.0,73
fail,2025-09-18 16:16:00,Vsa,Isfahan,9999999999.0,93
success,2025-09-04 16:40:00,nan,TEHRAN,-5000.0,72
fail,2025-09-25 19:29:00,MasterCard,Tehran,0.0,96
success,2025-09-28 14:11:00,MastCard,Tabriz,0.0,20
fail,2025-09-14 13:10:00,Discover,Qom,100.5,27
success,2025-09-18 03:27:00,Visa,Isfahan,1578078.0,8
success,2025-09-26 16:40:00,Amex,Shiraz,1427657.0,85
fail,2025-09-09 13:13:00,Visa,Isfahan,-999999.0,61
failed,2025-09-26 12:12:00,MasterCard,karaj,0.0,28
fail,2025-09-21 21:21:00,Master-Card,Isfahan,0.0,88
fail,2025-09-02 06:30:00,Visa,Qom,1768588.0,70
success,2025-09-20 11:11:00,Visa,Tabriz,555555.0,3
