id,status,time,card_type,city,amount,fees,discount,balance_before,is_weekend
1,processing,2024-12-02 02:58:00,nano,Sanandaj,470243,1511,13581,2569935,0
2,pending,2024-02-16 14:02:00,visa,Isfahan,4025070,5336,27780,5584229,0
3,processing,2024-06-10 14:23:00,visa,Hamadan,3573895,1686,7350,8785525,1
4,pending,2024-02-22 14:03:00,nano,Karaj,4961173,6583,12284,7120096,0
5,success,2024-04-04 22:10:00,mastercard,Hamadan,2067746,5001,24609,6591467,1
6,processing,2024-02-04 23:52:00,prepaid,Tehran,1883047,1919,26500,3957698,1
7,pending,2024-04-28 13:53:00,mastercard,Tehran,2536224,6130,22209,8947140,1
8,reversed,2024-05-03 12:22:00,credit,Urmia,2800188,6978,28989,7443759,1
9,processing,2024-10-24 05:07:00,debit,Arak,3921977,1238,9254,8404827,0
10,failed,2024-04-28 21:48:00,nano,Qazvin,481470,4654,28995,2677802,0
11,success,2024-10-12 09:09:00,credit,Kermanshah,1111780,2014,15196,7237827,0
12,success,2024-04-06 13:13:00,gift,Shiraz,4556042,735,1298,8224495,1
13,processing,2024-09-12 16:10:00,visa,Tabriz,1070586,6242,3259,1925738,1
14,pending,2024-01-12 13:57:00,micro,Sanandaj,1274357,1027,3923,6532175,0
15,success,2024-06-23 07:53:00,micro,Shiraz,4450009,6390,29113,6379186,1
16,reversed,2024-10-26 03:33:00,virtual,Karaj,4820423,4710,23423,5846220,1
17,failed,2024-05-04 15:40:00,virtual,Hamadan,3001375,1945,14790,8902369,0
18,reversed,2024-11-18 21:48:00,prepaid,Qom,2412259,3854,23639,6172586,0
19,pending,2024-10-02 14:44:00,virtual,Hamadan,3928394,741,15699,7328206,0
20,processing,2024-12-05 00:31:00,gift,Karaj,4769272,2759,12064,6347833,1
21,success,2024-10-15 01:02:00,credit,Sanandaj,4655306,103,4167,9619670,0
22,pending,2024-04-27 21:12:00,visa,Kerman,2225183,2514,24299,3992226,0
23,success,2024-01-06 12:42:00,credit,Arak,2565905,5928,6107,2624350,0
24,failed,2024-03-22 03:59:00,nano,Mashhad,996830,2449,8041,4975132,0
25,reversed,2024-06-11 18:44:00,virtual,Urmia,929398,5390,22765,3054406,1
26,pending,2024-12-14 19:35:00,gift,Mashhad,3937788,6196,23883,7255425,1
27,reversed,2024-01-11 06:32:00,gift,Kerman,4326289,5795,17161,9106942,1
28,pending,2024-09-21 09:31:00,prepaid,Rasht,519421,5540,12128,668895,1
29,failed,2024-09-07 05:09:00,micro,Yazd,2269111,2175,7646,5997469,1
30,processing,2024-04-01 19:30:00,debit,Kashan,1709319,6706,22172,5461173,0
31,processing,2024-02-23 17:13:00,nano,Shiraz,791548,1442,17877,6874348,0
32,reversed,2024-12-24 05:41:00,micro,Qazvin,2031666,6127,5241,6726724,1
33,failed,2024-02-09 19:28:00,credit,Qom,1054582,2322,12669,3477197,0
34,pending,2024-04-12 08:11:00,virtual,Mashhad,1766644,3453,21200,6672935,1
35,reversed,2024-06-11 03:41:00,nano,Tabriz,191785,1110,27851,1001774,1
36,pending,2024-07-05 11:28:00,gift,Yazd,3214669,5505,14160,6614336,0
37,failed,2024-01-25 11:57:00,micro,Isfahan,2846388,2017,22123,7904562,1
38,processing,2024-04-29 18:05:00,gift,Urmia,2872925,459,22364,7577384,1
39,reversed,2024-06-19 17:16:00,mastercard,Kerman,2474890,3137,29737,5627478,0
40,failed,2024-06-13 04:20:00,nano,Sanandaj,2403888,218,24801,6897002,0
41,pending,2024-06-01 04:41:00,visa,Tabriz,4270054,6247,11443,7496256,1
42,reversed,2024-04-17 02:05:00,mastercard,Mashhad,1712470,937,21413,2692242,0
43,success,2024-10-13 03:30:00,virtual,Tabriz,1945579,5451,16270,3859861,0
44,processing,2024-11-12 21:53:00,nano,Mashhad,894201,5448,25098,7078031,1
45,reversed,2024-03-09 12:47:00,nano,Tabriz,2863299,3869,19119,6458638,0
46,processing,2024-11-10 17:48:00,debit,Qazvin,4735208,407,19444,5566521,1
47,processing,2024-11-12 02:20:00,gift,Mashhad,4099144,519,1521,5587134,0
48,failed,2024-04-08 12:01:00,visa,Kermanshah,4430349,2459,21063,7510781,1
49,pending,2024-09-23 05:14:00,prepaid,Rasht,1151663,3565,6602,3049568,0
50,pending,2024-03-18 07:01:00,prepaid,Urmia,2376075,4345,22083,3524880,1
51,reversed,2024-02-23 02:29:00,debit,Kerman,2761387,6418,4952,3691877,1
52,processing,2024-03-07 01:22:00,prepaid,Bandar Abbas,2400003,5223,6985,4807856,1
53,reversed,2024-04-20 18:04:00,nano,Hamadan,632732,4898,5219,2641927,1
54,pending,2024-02-26 19:25:00,debit,Sanandaj,1908916,3129,15265,5145318,1
55,reversed,2024-10-30 03:19:00,gift,Arak,2552243,5738,22651,3649355,1
56,processing,2024-08-14 15:58:00,virtual,Qom,3187566,5,16210,4213188,1
57,failed,2024-12-02 13:57:00,debit,Sanandaj,2551209,1746,8572,8638201,0
58,pending,2024-12-25 15:57:00,prepaid,Urmia,511910,2225,16466,4306610,0
59,reversed,2024-07-03 05:15:00,debit,Kerman,954048,5822,918,5334042,1
60,reversed,2024-02-16 19:00:00,prepaid,Kashan,546844,3488,23009,7498709,1
61,pending,2024-08-14 07:29:00,debit,Kashan,4288028,6861,4652,8642070,0
62,reversed,2024-07-18 05:40:00,visa,Ahvaz,3117825,4314,5421,9095623,1
63,pending,2024-04-24 11:59:00,micro,Yazd,1945207,874,3306,8467455,0
64,processing,2024-02-07 07:11:00,nano,Kermanshah,2766005,4371,11562,4944232,1
65,reversed,2024-02-14 14:57:00,shaparak,Arak,2633852,1037,700,4604056,1
66,reversed,2024-08-21 04:18:00,shaparak,Tabriz,4859251,6039,13814,9383448,0
67,failed,2024-10-14 03:34:00,gift,Kashan,1686426,3649,19238,6843092,1
68,pending,2024-11-17 23:15:00,prepaid,Tabriz,4960205,1415,8806,8491081,1
69,success,2024-01-21 10:33:00,credit,Isfahan,2748143,3580,16015,5768936,0
70,success,2024-04-22 18:39:00,shaparak,Tehran,157576,1264,8044,1406790,0
71,pending,2024-06-06 07:32:00,debit,Qazvin,690742,2867,8637,5519907,0
72,reversed,2024-07-06 00:04:00,mastercard,Qom,4663446,6792,11561,10638825,0
73,pending,2024-02-08 12:21:00,mastercard,Arak,2313027,5202,398,9048481,1
74,pending,2024-04-15 12:23:00,visa,Sanandaj,4965615,5556,4633,9716144,0
75,reversed,2024-06-23 18:37:00,nano,Kashan,3065757,4391,19163,7247952,1
76,failed,2024-06-29 08:40:00,shaparak,Qom,2981814,1721,28207,8081539,0
77,processing,2024-02-17 00:11:00,micro,Arak,4364800,3988,23075,8660229,0
78,success,2024-11-26 11:40:00,debit,Yazd,1865353,3133,27745,2863288,0
79,pending,2024-08-10 04:51:00,prepaid,Arak,572589,3294,29989,7022620,0
80,failed,2024-10-03 09:31:00,shaparak,Karaj,3101919,3370,16649,5681542,1
81,processing,2024-02-15 02:52:00,virtual,Kerman,1062366,36,26188,6584345,0
82,reversed,2024-11-11 03:53:00,shaparak,Kerman,3333028,5222,3766,9814464,1
83,pending,2024-07-11 01:01:00,mastercard,Tabriz,2968964,4206,6866,7697559,1
84,reversed,2024-02-11 14:55:00,nano,Ahvaz,1967066,4401,14057,8370045,0
85,pending,2024-11-20 21:26:00,shaparak,Kerman,3496686,3922,4369,10110765,1
86,success,2024-08-10 18:35:00,micro,Urmia,1536858,3113,17842,1913969,1
87,success,2024-03-02 12:57:00,debit,Rasht,3976243,1085,16724,10567117,0
88,processing,2024-11-03 20:34:00,prepaid,Mashhad,3287443,3406,536,7675582,0
89,success,2024-12-02 22:50:00,nano,Kerman,3189254,3957,4968,5589974,1
90,failed,2024-05-21 10:02:00,mastercard,Tabriz,4971625,5213,17507,7424433,1
91,processing,2024-09-15 01:08:00,debit,Kermanshah,3638111,3065,27202,6779140,0
92,pending,2024-09-16 23:33:00,nano,Hamadan,4087309,5218,22147,10528998,0
93,reversed,2024-07-24 05:34:00,visa,Arak,792142,378,8953,6922897,1
94,reversed,2024-04-18 09:09:00,visa,Shiraz,4094360,73,6983,4224874,1
95,success,2024-02-02 05:38:00,nano,Qazvin,3858348,1851,11420,10247792,0
96,processing,2024-05-24 06:25:00,micro,Yazd,4813387,1656,16533,5961639,1
97,processing,2024-01-17 06:57:00,debit,Kashan,3147625,6911,23384,4015620,1
98,failed,2024-07-28 08:10:00,nano,Yazd,1810565,5950,20721,5148583,1
99,processing,2024-03-07 16:13:00,mastercard,Tehran,3636197,2493,2388,5205906,1
100,success,2024-12-20 09:41:00,shaparak,Urmia,4165271,4537,6403,6146991,1
101,failed,2024-11-14 13:43:00,debit,Karaj,3636242,3887,2330,4745580,1
102,success,2024-08-07 16:58:00,prepaid,Qazvin,1491328,106,11049,6195597,1
103,success,2024-10-02 07:03:00,micro,Kerman,2484865,3864,14905,8211387,0
104,processing,2024-05-16 17:56:00,nano,Qom,1102052,4687,29226,3746935,0
105,pending,2024-09-08 05:20:00,visa,Shiraz,2797214,4562,13962,5204266,1
106,pending,2024-11-18 14:11:00,virtual,Ahvaz,4360226,659,13686,4582742,0
107,reversed,2024-03-02 02:33:00,micro,Mashhad,1210097,1411,7198,6938097,0
108,reversed,2024-02-08 18:58:00,nano,Tabriz,4496664,235,17344,11096029,0
109,pending,2024-06-08 18:32:00,debit,Sanandaj,953418,5601,19458,6242964,0
110,success,2024-10-20 22:48:00,virtual,Yazd,3579651,833,26199,7488317,0
111,reversed,2024-07-24 00:43:00,gift,Tabriz,94207,5664,6880,5428816,0
112,reversed,2024-02-12 21:54:00,credit,Shiraz,1334035,5294,24490,5709169,1
113,reversed,2024-10-09 05:07:00,virtual,Shiraz,1713645,3427,3865,6629270,0
114,failed,2024-01-27 08:23:00,debit,Arak,3785589,1098,15626,8705721,0
115,reversed,2024-11-05 08:49:00,gift,Shiraz,2991270,3825,22893,3873325,1
116,pending,2024-06-23 07:36:00,debit,Qazvin,4885987,1894,9124,8856184,0
117,success,2024-01-13 01:53:00,virtual,Karaj,2028728,4065,24746,7482094,0
118,processing,2024-05-05 18:34:00,nano,Sanandaj,2212399,6758,5051,5130181,1
119,pending,2024-03-01 21:43:00,prepaid,Kermanshah,3560389,1062,26828,5961441,1
120,processing,2024-06-19 12:13:00,nano,Sanandaj,3072874,1306,5860,3129179,0
121,success,2024-05-03 01:53:00,prepaid,Yazd,2291881,2477,8378,3078719,1
122,reversed,2024-04-12 00:51:00,shaparak,Shiraz,4760111,4526,25302,9846619,0
123,failed,2024-09-07 21:51:00,debit,Hamadan,1637118,5507,7427,3145707,1
124,pending,2024-07-01 06:58:00,mastercard,Shiraz,2699839,1045,8288,7969603,0
125,failed,2024-05-25 09:47:00,credit,Tabriz,4614679,4048,20331,9587260,0
126,failed,2024-10-29 18:19:00,visa,Isfahan,2356629,2488,11852,5740773,1
127,pending,2024-09-05 06:15:00,virtual,Tehran,4210431,4777,26150,5270061,1
128,reversed,2024-04-17 13:05:00,micro,Kermanshah,3657110,3881,14614,8798151,0
129,failed,2024-12-01 00:53:00,virtual,Arak,2916764,943,10348,9389844,1
130,reversed,2024-06-17 00:43:00,gift,Shiraz,2193950,1769,17636,9062517,1
131,pending,2024-06-13 22:31:00,virtual,Karaj,3504358,3391,583,7749766,0
132,processing,2024-07-28 23:06:00,gift,Kerman,3853603,6554,2129,7901050,0
133,processing,2024-01-22 05:17:00,mastercard,Kermanshah,1281684,4909,24577,6416641,1
134,reversed,2024-05-06 07:26:00,mastercard,Arak,421009,6620,21577,741616,0
135,pending,2024-04-19 20:45:00,micro,Ahvaz,3403509,1516,599,6007062,1
136,processing,2024-05-15 23:05:00,debit,Sanandaj,1492148,4141,13011,2657586,0
137,reversed,2024-05-01 01:42:00,micro,Urmia,4589837,1523,4508,5267475,1
138,success,2024-12-09 16:59:00,shaparak,Isfahan,4531551,1685,27690,10035244,1
139,reversed,2024-11-14 15:11:00,gift,Qom,4441417,2698,5695,7747173,0
140,success,2024-07-13 05:14:00,credit,Urmia,3041889,4377,19474,8204407,0
141,processing,2024-07-13 22:32:00,credit,Urmia,1261622,2643,22071,8128727,1
142,pending,2024-10-11 14:08:00,shaparak,Rasht,850478,3600,25287,6516249,0
143,pending,2024-03-22 11:43:00,virtual,Kermanshah,2560731,5608,5457,4861266,0
144,processing,2024-06-22 05:32:00,gift,Ahvaz,2818488,6967,13946,5692410,1
145,reversed,2024-06-30 04:21:00,mastercard,Qazvin,346854,4221,26009,5550135,1
146,processing,2024-10-05 11:35:00,debit,Hamadan,903892,6005,20980,2545379,1
147,processing,2024-07-12 03:51:00,shaparak,Rasht,3778183,2627,13781,10003814,1
148,pending,2024-04-05 07:37:00,debit,Shiraz,4790453,599,24728,9580402,0
149,reversed,2024-06-05 20:51:00,prepaid,Qazvin,1741589,5120,25920,3907761,0
150,success,2024-04-05 12:37:00,shaparak,Qazvin,1168323,2699,24173,4170194,1
151,pending,2024-08-12 03:36:00,debit,Kashan,1442198,2257,17002,3689166,0
152,success,2024-04-21 07:42:00,prepaid,Qom,180598,2998,5012,3549961,1
153,reversed,2024-11-30 08:21:00,credit,Qazvin,1190462,6941,16834,2875281,0
154,processing,2024-09-16 02:11:00,virtual,Hamadan,1386251,215,22951,7244226,0
155,failed,2024-11-10 08:08:00,nano,Yazd,1151271,489,7042,4693469,0
156,reversed,2024-02-21 09:07:00,shaparak,Ahvaz,861947,1731,22484,1691929,0
157,reversed,2024-12-21 07:49:00,visa,Tabriz,4260775,3250,60,10170960,0
158,failed,2024-08-08 01:00:00,micro,Rasht,254443,602,27651,4503141,1
159,failed,2024-05-27 10:10:00,mastercard,Tehran,3058450,1388,180,6313377,1
160,failed,2024-04-05 23:44:00,credit,Qom,662547,300,22724,2654344,0
161,processing,2024-05-26 11:39:00,prepaid,Qazvin,3148127,4563,19154,3530347,1
162,failed,2024-11-04 07:19:00,visa,Qom,3752528,1727,8327,9814289,0
163,success,2024-02-19 05:57:00,prepaid,Kerman,1739769,595,21514,8617717,0
164,success,2024-11-24 02:55:00,visa,Urmia,1299515,345,10317,2886265,1
165,failed,2024-06-17 03:20:00,mastercard,Bandar Abbas,709391,3213,3887,6486895,1
166,reversed,2024-11-24 16:58:00,nano,Tabriz,4664748,1645,17976,7387433,1
167,pending,2024-02-28 09:06:00,gift,Tehran,2380548,102,14723,6988178,1
168,pending,2024-03-09 08:11:00,nano,Karaj,2306120,1089,10128,6330092,0
169,failed,2024-08-09 22:06:00,shaparak,Ahvaz,4956291,404,25005,5000218,1
170,success,2024-07-31 13:03:00,prepaid,Tehran,4357503,3723,6032,4535232,0
171,reversed,2024-09-23 23:58:00,mastercard,Kermanshah,4216309,3830,5027,10043566,1
172,pending,2024-08-26 08:24:00,visa,Tehran,3277956,320,5391,4725783,0
173,processing,2024-07-22 10:00:00,nano,Hamadan,84504,3651,13020,1520505,0
174,processing,2024-02-09 13:21:00,gift,Arak,3447256,77,29975,8480492,0
175,reversed,2024-05-23 07:17:00,micro,Urmia,4125219,5110,14329,5109596,1
176,processing,2024-03-13 21:52:00,visa,Kashan,577654,5677,20991,612372,0
177,failed,2024-10-24 23:07:00,prepaid,Isfahan,1253162,1757,17156,6446836,1
178,success,2024-04-27 02:53:00,gift,Sanandaj,3250936,6040,20679,4480880,1
179,success,2024-01-06 20:48:00,prepaid,Qom,3141587,3206,9882,3222781,1
180,pending,2024-11-08 13:38:00,mastercard,Arak,3491388,6232,13684,5472689,1
181,failed,2024-05-30 19:05:00,shaparak,Arak,4802331,5338,870,6606797,0
182,success,2024-06-12 04:50:00,mastercard,Urmia,3609604,5183,16279,3808974,0
183,failed,2024-09-05 00:46:00,mastercard,Mashhad,4132828,1945,8927,8786621,1
184,reversed,2024-04-21 12:07:00,gift,Kermanshah,1131098,3403,14819,1316514,0
185,reversed,2024-03-19 05:54:00,credit,Urmia,2456684,4005,10534,4806895,0
186,pending,2024-05-09 09:08:00,micro,Isfahan,34686,2478,8984,1075267,0
187,pending,2024-04-29 23:08:00,micro,Qom,4670519,2207,9588,6900002,1
188,pending,2024-10-14 03:58:00,micro,Qom,693505,631,3077,5344762,0
189,success,2024-03-22 06:47:00,shaparak,Yazd,1986034,4732,8783,3499077,0
190,success,2024-09-01 04:21:00,mastercard,Hamadan,3396497,3371,27747,8389752,1
191,processing,2024-07-09 11:58:00,shaparak,Kerman,2068370,2673,26508,8715633,1
192,reversed,2024-09-07 14:08:00,debit,Karaj,4661024,2491,3129,7611576,1
193,success,2024-04-26 00:02:00,shaparak,Yazd,4301531,2322,14825,8550661,0
194,pending,2024-05-18 01:28:00,debit,Hamadan,3115310,5933,28331,3230379,1
195,success,2024-08-25 05:21:00,visa,Kermanshah,2523408,746,6026,8995870,1
196,processing,2024-07-15 16:45:00,debit,Kerman,1383366,442,26320,6679414,0
197,pending,2024-04-12 15:21:00,virtual,Tabriz,4173426,2216,5207,8099095,1
198,processing,2024-05-15 20:25:00,virtual,Shiraz,2945850,2041,24019,4217421,1
199,reversed,2024-10-01 09:40:00,debit,Sanandaj,1687925,1133,20744,4148932,1
200,failed,2024-08-02 11:39:00,prepaid,Tabriz,614801,624,23314,1858999,0
201,pending,2024-08-27 01:25:00,prepaid,Kermanshah,4566268,4013,5116,4696226,0
202,failed,2024-11-03 19:25:00,gift,Isfahan,1356113,5114,24118,5565057,0
203,pending,2024-06-18 08:55:00,shaparak,Arak,229676,3522,4569,3092794,1
204,pending,2024-10-22 13:35:00,prepaid,Qom,1187397,2704,24650,4696256,1
205,success,2024-12-01 01:00:00,micro,Mashhad,4244474,4452,9886,8167196,0
